Country,City,State,Depot,Account,ShipmentStatus,ShipMethodActualDesc,ShipDate,ClearanceStatusType,ShipMethodOrgDesc,ShipMethodOrgCode,CartonCount,PieceCount
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,5
